SOURCE_REPORTING_UNIT_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,OWNER_DESCR,STATE,COUNTY
Eldorado National Forest,2004,2453184.5,180,1600.0,1,Lightning,2453189.5,185.0,1400.0,USFS,CA,3.0
Eldorado National Forest,2004,2453184.5,180,1600.0,1,Lightning,2453189.5,185.0,1200.0,USFS,CA,3.0
Eldorado National Forest,2004,2453284.5,280,1415.0,2,Equipment Use,2453299.5,295.0,1000.0,USFS,CA,5.0
Eldorado National Forest,2004,2453291.5,287,1618.0,2,Equipment Use,2453295.5,291.0,1800.0,USFS,CA,17.0
Humboldt-Toiyabe National Forest,2005,2453496.5,126,1145.0,5,Debris Burning,2453499.5,129.0,1330.0,STATE OR PRIVATE,CA,3.0
Los Padres National Forest,2005,2453552.5,182,1330.0,9,Miscellaneous,2453554.5,184.0,1800.0,USFS,CA,
Humboldt-Toiyabe National Forest,2005,2453572.5,202,1700.0,1,Lightning,2453575.5,205.0,1000.0,USFS,CA,51.0
Humboldt-Toiyabe National Forest,2005,2453579.5,209,2000.0,1,Lightning,2453581.5,211.0,300.0,USFS,CA,3.0
Sequoia National Forest,2005,2453571.5,201,1700.0,1,Lightning,2453573.5,203.0,1430.0,USFS,CA,
Sequoia National Forest,2005,2453589.5,219,1530.0,1,Lightning,2453591.5,221.0,600.0,USFS,CA,
Sequoia National Forest,2005,2453589.5,219,1530.0,1,Lightning,2453595.5,225.0,1200.0,USFS,CA,
Tahoe National Forest,2005,2453477.5,107,1200.0,9,Miscellaneous,2453499.5,129.0,1800.0,USFS,CA,
Cleveland National Forest,2005,2453565.5,195,2052.0,4,Campfire,2453567.5,197.0,1800.0,STATE OR PRIVATE,CA,
Cleveland National Forest,2005,2453606.5,236,1110.0,4,Campfire,2453608.5,238.0,1800.0,USFS,CA,
Inyo National Forest,2005,2453615.5,245,1452.0,7,Arson,2453618.5,248.0,1430.0,USFS,CA,
Eldorado National Forest,2005,2453598.5,228,1630.0,1,Lightning,2453600.5,230.0,1800.0,STATE OR PRIVATE,CA,
Eldorado National Forest,2005,2453599.5,229,1020.0,1,Lightning,2453606.5,236.0,1600.0,USFS,CA,
Modoc National Forest,2005,2453587.5,217,1655.0,1,Lightning,2453593.5,223.0,1600.0,USFS,CA,
Mendocino National Forest,2005,2453629.5,259,1435.0,9,Miscellaneous,2453631.5,261.0,1800.0,MISSING/NOT SPECIFIED,CA,
Mendocino National Forest,2005,2453640.5,270,800.0,1,Lightning,2453642.5,272.0,1200.0,STATE OR PRIVATE,CA,
Sequoia National Forest,2005,2453589.5,219,1455.0,2,Equipment Use,2453591.5,221.0,1800.0,STATE OR PRIVATE,CA,
Modoc National Forest,2005,2453587.5,217,1730.0,1,Lightning,2453607.5,237.0,1800.0,USFS,CA,
Modoc National Forest,2005,2453587.5,217,1910.0,1,Lightning,2453593.5,223.0,1230.0,USFS,CA,
Eldorado National Forest,2005,2453599.5,229,1230.0,1,Lightning,2453615.5,245.0,1800.0,USFS,CA,
Eldorado National Forest,2005,2453597.5,227,1759.0,1,Lightning,2453614.5,244.0,1800.0,USFS,CA,
Eldorado National Forest,2005,2453603.5,233,1610.0,1,Lightning,2453614.5,244.0,1800.0,USFS,CA,
Stanislaus National Forest,2005,2453634.5,264,1225.0,1,Lightning,2453636.5,266.0,1800.0,USFS,CA,
Klamath National Forest,2005,2453543.5,173,1815.0,9,Miscellaneous,2453545.5,175.0,1105.0,USFS,CA,
Tahoe National Forest,2005,2453606.5,236,1458.0,9,Miscellaneous,2453622.5,252.0,1300.0,USFS,CA,
Tahoe National Forest,2005,2453665.5,295,2200.0,9,Miscellaneous,2453667.5,297.0,1000.0,STATE OR PRIVATE,CA,
Sequoia National Forest,2005,2453670.5,300,930.0,1,Lightning,2453676.5,306.0,1300.0,USFS,CA,
Sequoia National Forest,2005,2453673.5,303,1425.0,1,Lightning,2453675.5,305.0,950.0,USFS,CA,
Sequoia National Forest,2005,2453575.5,205,1611.0,1,Lightning,2453638.5,268.0,1400.0,USFS,CA,
Sequoia National Forest,2005,2453575.5,205,1451.0,1,Lightning,2453581.5,211.0,1530.0,USFS,CA,
Cleveland National Forest,2005,2453649.5,279,2012.0,4,Campfire,2453653.5,283.0,1800.0,USFS,CA,
Cleveland National Forest,2005,2453527.5,157,1205.0,2,Equipment Use,2453541.5,171.0,1300.0,MISSING/NOT SPECIFIED,CA,
Tahoe National Forest,2005,2453635.5,265,800.0,4,Campfire,2453638.5,268.0,1650.0,USFS,CA,
Sequoia National Forest,2005,2453575.5,205,1451.0,1,Lightning,2453658.5,288.0,1600.0,USFS,CA,
Sequoia National Forest,2005,2453668.5,298,900.0,1,Lightning,2453705.5,335.0,1500.0,USFS,CA,
Inyo National Forest,2005,2453590.5,220,1000.0,1,Lightning,2453592.5,222.0,1130.0,USFS,CA,
Sierra National Forest,2005,2453640.5,270,1013.0,1,Lightning,2453672.5,302.0,1800.0,USFS,CA,
Inyo National Forest,2005,2453572.5,202,1800.0,1,Lightning,2453574.5,204.0,1800.0,USFS,CA,
Inyo National Forest,2005,2453586.5,216,841.0,1,Lightning,2453614.5,244.0,1745.0,USFS,CA,
Inyo National Forest,2005,2453589.5,219,1537.0,1,Lightning,2453614.5,244.0,1745.0,USFS,CA,
Inyo National Forest,2005,2453590.5,220,1153.0,1,Lightning,2453614.5,244.0,1745.0,USFS,CA,
Inyo National Forest,2005,2453591.5,221,1541.0,1,Lightning,2453614.5,244.0,1745.0,USFS,CA,
Inyo National Forest,2005,2453677.5,307,1255.0,1,Lightning,2453706.5,336.0,1200.0,USFS,CA,
Sierra National Forest,2005,2453572.5,202,1550.0,1,Lightning,2453583.5,213.0,1200.0,USFS,CA,
Sierra National Forest,2005,2453572.5,202,1600.0,1,Lightning,2453576.5,206.0,1800.0,USFS,CA,
Sierra National Forest,2005,2453574.5,204,1225.0,1,Lightning,2453580.5,210.0,1800.0,USFS,CA,
Sierra National Forest,2005,2453588.5,218,1245.0,1,Lightning,2453591.5,221.0,1400.0,USFS,CA,
Sierra National Forest,2005,2453668.5,298,1100.0,1,Lightning,2453699.5,329.0,1200.0,USFS,CA,
Six Rivers National Forest,2005,2453617.5,247,1929.0,7,Arson,2453621.5,251.0,1600.0,USFS,CA,
Shasta-Trinity National Forest,2005,2453621.5,251,300.0,1,Lightning,2453623.5,253.0,900.0,USFS,CA,
Shasta-Trinity National Forest,2005,2453688.5,318,815.0,7,Arson,2453690.5,320.0,1400.0,STATE OR PRIVATE,CA,
Shasta-Trinity National Forest,2005,2453692.5,322,1330.0,1,Lightning,2453701.5,331.0,1800.0,STATE OR PRIVATE,CA,
Sierra National Forest,2002,2452468.5,194,1943.0,1,Lightning,2452470.5,196.0,1200.0,USFS,CA,19.0
San Bernardino National Forest,2006,2453864.5,129,955.0,4,Campfire,2453870.5,135.0,1600.0,OTHER FEDERAL,CA,65.0
Lassen National Forest,2006,2453912.5,177,1302.0,1,Lightning,2453914.5,179.0,910.0,USFS,CA,35.0
Humboldt-Toiyabe National Forest,2006,2453915.5,180,2200.0,1,Lightning,2453918.5,183.0,1330.0,USFS,CA,3.0
Plumas National Forest,2006,2453911.5,176,2030.0,1,Lightning,2453914.5,179.0,1800.0,USFS,CA,63.0
Plumas National Forest,2006,2453911.5,176,2030.0,1,Lightning,2453916.5,181.0,1800.0,USFS,CA,63.0
Plumas National Forest,2006,2453911.5,176,2030.0,1,Lightning,2453914.5,179.0,1800.0,USFS,CA,63.0
Plumas National Forest,2006,2453911.5,176,2030.0,1,Lightning,2453914.5,179.0,1800.0,USFS,CA,63.0
Plumas National Forest,2006,2453912.5,177,1646.0,1,Lightning,2453916.5,181.0,1800.0,USFS,CA,63.0
Plumas National Forest,2006,2453912.5,177,1710.0,1,Lightning,2453914.5,179.0,1800.0,USFS,CA,63.0
Plumas National Forest,2006,2453911.5,176,2135.0,1,Lightning,2453913.5,178.0,1800.0,USFS,CA,63.0
Plumas National Forest,2006,2453911.5,176,2030.0,1,Lightning,2453913.5,178.0,1800.0,USFS,CA,63.0
Plumas National Forest,2006,2453911.5,176,2030.0,1,Lightning,2453917.5,182.0,1900.0,USFS,CA,63.0
Plumas National Forest,2006,2453912.5,177,830.0,1,Lightning,2453916.5,181.0,1800.0,USFS,CA,63.0
Plumas National Forest,2006,2453912.5,177,1757.0,1,Lightning,2453917.5,182.0,2100.0,USFS,CA,63.0
Plumas National Forest,2006,2453914.5,179,1753.0,1,Lightning,2453916.5,181.0,1800.0,USFS,CA,63.0
Plumas National Forest,2006,2453915.5,180,1656.0,1,Lightning,2453917.5,182.0,1800.0,USFS,CA,63.0
Humboldt-Toiyabe National Forest,2006,2453918.5,183,1030.0,1,Lightning,2453920.5,185.0,1800.0,USFS,CA,3.0
Humboldt-Toiyabe National Forest,2006,2453924.5,189,1830.0,1,Lightning,2453929.5,194.0,1800.0,USFS,CA,3.0
Humboldt-Toiyabe National Forest,2006,2453925.5,190,1600.0,1,Lightning,2453932.5,197.0,1800.0,USFS,CA,3.0
Inyo National Forest,2006,2453912.5,177,1437.0,1,Lightning,2453916.5,181.0,800.0,MISSING/NOT SPECIFIED,CA,27.0
Humboldt-Toiyabe National Forest,2006,2453933.5,198,1615.0,1,Lightning,2453937.5,202.0,1800.0,USFS,CA,51.0
