Fire_Count,Year,Past_year,Two_years,3YMA,Three_years,Four_years,5YMA,2yr_ex
211,1992,,,211.0,,,211.0,
71,1993,211.0,,141.0,,,141.0,117.66666666666666
260,1994,71.0,211.0,180.66666666666666,,,180.66666666666666,196.99999999999997
91,1995,260.0,71.0,140.66666666666666,211.0,,158.25,147.33333333333331
231,1996,91.0,260.0,194.0,71.0,211.0,172.8,184.33333333333334
146,1997,231.0,91.0,156.0,260.0,71.0,159.8,174.33333333333331
152,1998,146.0,231.0,176.33333333333334,91.0,260.0,176.0,150.0
311,1999,152.0,146.0,203.0,231.0,91.0,186.2,258.0
201,2000,311.0,152.0,221.33333333333334,146.0,231.0,208.2,237.66666666666666
227,2001,201.0,311.0,246.33333333333334,152.0,146.0,207.4,218.33333333333331
197,2002,227.0,201.0,208.33333333333334,311.0,152.0,217.6,206.99999999999997
352,2003,197.0,227.0,258.6666666666667,201.0,311.0,257.6,300.3333333333333
187,2004,352.0,197.0,245.33333333333334,227.0,201.0,232.8,242.0
175,2005,187.0,352.0,238.0,197.0,227.0,227.6,179.0
377,2006,175.0,187.0,246.33333333333334,352.0,197.0,257.6,309.66666666666663
275,2007,377.0,175.0,275.6666666666667,187.0,352.0,273.2,309.0
406,2008,275.0,377.0,352.6666666666667,175.0,187.0,284.0,362.33333333333326
242,2009,406.0,275.0,307.6666666666667,377.0,175.0,295.0,296.66666666666663
216,2010,242.0,406.0,288.0,275.0,377.0,303.2,224.66666666666666
213,2011,216.0,242.0,223.66666666666666,406.0,275.0,270.4,214.0
220,2012,213.0,216.0,216.33333333333334,242.0,406.0,259.4,217.66666666666666
357,2013,220.0,213.0,263.3333333333333,216.0,242.0,249.6,311.3333333333333
296,2014,357.0,220.0,291.0,213.0,216.0,260.4,316.3333333333333
360,2015,296.0,357.0,337.6666666666667,220.0,213.0,289.2,338.66666666666663
