Country,Location,Region,Happiness,Logged GDP per capita,GDP per capita,Social support_old,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Afghanistan,AFG,South Asia,2.523,7.695,2197.33381,0.463,52.493,0.382,-0.102,0.924
Albania,ALB,Central and Eastern Europe,5.117,9.52,13629.61121,0.697,68.999,0.785,-0.03,0.901
Algeria,DZA,Middle East and North Africa,4.887,9.342,11407.19984,0.802,66.005,0.48,-0.067,0.752
Argentina,ARG,Latin America and Caribbean,5.929,9.962,21205.16366,0.898,69,0.828,-0.182,0.834
Armenia,ARM,Commonwealth of Independent States,5.283,9.487,13187.1744,0.799,67.055,0.825,-0.168,0.629
Australia,AUS,North America and ANZ,7.183,10.796,48825.10958,0.94,73.9,0.914,0.159,0.442
Austria,AUT,Western Europe,7.268,10.906,54502.39911,0.934,73.3,0.908,0.042,0.481
Azerbaijan,AZE,Commonwealth of Independent States,5.171,9.569,14314.09507,0.836,65.656,0.814,-0.223,0.506
Bahrain,BHR,Middle East and North Africa,6.647,10.669,43001.91807,0.862,69.495,0.925,0.089,0.722
Bangladesh,BGD,South Asia,5.025,8.454,4693.810477,0.693,64.8,0.877,-0.041,0.682
Belarus,BLR,Commonwealth of Independent States,5.534,9.853,19015.31526,0.91,66.253,0.65,-0.18,0.627
Belgium,BEL,Western Europe,6.834,10.823,50161.34554,0.906,72.199,0.783,-0.153,0.646
Benin,BEN,Sub-Saharan Africa,5.045,8.087,3251.91717,0.489,54.713,0.757,-0.034,0.661
Bolivia,BOL,Latin America and Caribbean,5.716,9.046,8484.53183,0.81,63.901,0.875,-0.077,0.839
Bosnia and Herzegovina,BIH,Central and Eastern Europe,5.813,9.59,14617.86953,0.87,68.098,0.706,0.113,0.931
Botswana,BWA,Sub-Saharan Africa,3.467,9.782,17712.04154,0.784,59.269,0.824,-0.246,0.801
Brazil,BRA,Latin America and Caribbean,6.33,9.577,14429.06711,0.882,66.601,0.804,-0.071,0.756
Bulgaria,BGR,Central and Eastern Europe,5.266,10.016,22381.72373,0.931,67,0.788,-0.096,0.932
Burkina Faso,BFA,Sub-Saharan Africa,4.834,7.678,2160.294859,0.672,54.151,0.695,-0.009,0.748
Burundi,BDI,Sub-Saharan Africa,3.775,6.635,761.2790658,0.49,53.4,0.626,-0.024,0.607
Cambodia,KHM,Southeast Asia,4.83,8.36,4272.694766,0.765,62,0.959,0.034,0.843
Cameroon,CMR,Sub-Saharan Africa,5.142,8.189,3601.119326,0.71,53.515,0.731,0.026,0.848
Canada,CAN,North America and ANZ,7.103,10.776,47858.30763,0.926,73.8,0.915,0.089,0.415
Chad,TCD,Sub-Saharan Africa,4.355,7.364,1578.136501,0.619,48.478,0.579,0.041,0.807
Chile,CHL,Latin America and Caribbean,6.172,10.071,23647.20015,0.882,70,0.742,-0.044,0.83
China,CHN,East Asia,5.339,9.673,15882.9264,0.811,69.593,0.904,-0.146,0.755
